54,38,35,1
54,37,38,1
54,35,40,1
56,35,20,1
53,37,39,1
53,38,35,1
52,37,34,1
53,35,44,1
53,35,44,1
56,43,61,2
46,27,76,2
48,25,78,2
48,27,72,2
51,27,84,2
50,29,83,2
47,25,80,2
50,27,84,2
50,27,82,2
47,25,70,2
49,26,84,2
51,27,78,2
49,28,76,2
48,27,75,2
50,28,74,2
51,32,66,2
50,27,84,2
51,27,76,2
51,28,83,2
51,29,75,2
51,27,90,2
50,27,70,2
52,30,82,2
57,33,83,2
55,31,83,2
49,27,85,2
56,35,72,2
54,35,77,2
56,37,58,2
54,31,95,2
50,28,73,2
50,28,73,2
63,40,14,3
63,43,17,3
61,40,15,3
63,44,18,3
64,41,14,3
63,44,19,3
64,42,16,3
62,40,16,3
64,40,16,3
63,40,14,3
64,41,15,3
58,34,16,3
54,31,13,3
62,43,17,3
56,33,17,3
62,39,15,3
62,40,16,3
58,33,17,3
52,28,14,3
51,29,14,3
46,23,12,3
47,22,11,3
50,25,14,3
50,27,15,3
49,26,14,3
55,31,14,3
53,29,14,3
50,27,13,3
60,36,16,3
51,23,12,3
50,25,13,3
53,26,14,3
53,26,13,3
52,30,14,3
61,35,14,3
58,36,14,3
58,35,14,3
53,26,12,3
56,32,15,3
52,28,12,3
52,29,12,3
60,35,15,3
60,35,15,3
59,37,15,3
61,37,15,3
59,37,16,3
59,37,17,3
61,38,16,3
59,37,15,3
52,27,15,3
48,25,18,3
59,38,14,3
71,55,53,4
56,39,67,4
65,49,52,4
72,55,58,4
70,57,55,4
55,34,53,4
73,57,69,4
61,42,80,4
58,39,58,4
69,54,57,4
67,53,43,4
73,59,44,4
70,53,51,4
61,44,47,4
72,57,71,4
61,46,41,4
69,52,53,4
69,56,55,4
69,53,71,4
67,51,49,4
75,60,51,4
61,45,46,4
67,54,46,4
71,56,47,4
63,43,78,4
68,53,53,4
87,75,64,4
67,51,48,4
65,49,51,4
68,53,47,4
59,45,42,4
58,41,56,4
57,37,58,4
62,43,58,4
71,56,57,4
62,44,48,4
62,46,54,4
66,52,53,4
65,48,50,4
69,53,53,4
66,48,43,4
121,111,76,4
68,54,58,4
75,59,64,4
71,56,54,4
68,49,58,4
68,49,58,4
